Date,Residuals
2016-10-01,0.0001
2016-11-01,0.0018999999995814873
2016-12-01,0.00499999998437589
2017-01-01,0.0019999999685798107
2017-02-01,4.288494906412588e-12
2017-03-01,0.000999999997170516
2017-04-01,-6.546816908037378e-12
2017-05-01,4.478089773995997e-12
2017-06-01,-3.126237116402031e-12
2017-07-01,0.01000000000227485
2017-08-01,0.009999999914509845
2017-09-01,0.049999999973757855
2017-10-01,0.03994999965367557
2017-11-01,0.01809999974062096
2017-12-01,0.04289531058938342
2018-01-01,0.03395617978390364
2018-02-01,0.03816075120206619
2018-03-01,-0.03504117189205347
2018-04-01,0.027623749919073876
2018-05-01,0.011019946208217113
2018-06-01,0.034312700448695
2018-07-01,0.012383235688259997
2018-08-01,0.09298630313567352
2018-09-01,-0.014827467914920844
2018-10-01,0.0011640665565982866
2018-11-01,0.07717764751575296
2018-12-01,0.007317724083361399
2019-01-01,0.043862335483336956
2019-02-01,0.01327908832135205
2019-03-01,0.054627702965509894
2019-04-01,0.14524782134651382
2019-05-01,0.13127923465932412
2019-06-01,0.038919604848153044
2019-07-01,0.06659031320926645
2019-08-01,-0.08427739931501366
2019-09-01,-0.09036896216306944
2019-10-01,-0.0125616653699554
2019-11-01,-0.3563921511970436
2019-12-01,0.2506990001647251
2020-01-01,-0.03528909751354958
2020-02-01,0.15553155939457897
2020-03-01,0.04835643960710834
2020-04-01,0.1843745039207465
2020-05-01,0.009191619869550305
2020-06-01,0.11224508333152006
2020-07-01,-0.0919937352895337
2020-08-01,0.0783934889091169
2020-09-01,-0.03919912383203705
2020-10-01,0.46905044517638306
2020-11-01,-0.010691194860726227
2020-12-01,-0.23059175253593622
2021-01-01,0.14980176253184085
2021-02-01,0.3208578115486431
2021-03-01,0.16689889464968877
2021-04-01,0.05590445504361341
2021-05-01,0.16328029512287046
2021-06-01,0.20957014161410115
2021-07-01,-0.100062476919339
2021-08-01,-0.019429599769500427
2021-09-01,0.4463471436002644
2021-10-01,0.13784495950094033
2021-11-01,0.012811244809620703
2021-12-01,0.5317501697528275
2022-01-01,-0.559041137719718
2022-02-01,0.12502754143322914
2022-03-01,-0.24855738664305527
2022-04-01,0.02433305867361124
2022-05-01,-0.0890559222432632
2022-06-01,-0.018057196265683473
2022-07-01,0.5045852617401936
2022-08-01,-0.09019021540098482
2022-09-01,-0.06897153473660556
2022-10-01,0.025560666758194017
2022-11-01,-0.0670851798784291
2022-12-01,0.5479414404951743
2023-01-01,0.3020714285694286
2023-02-01,0.0367613678574461
2023-03-01,-0.2319692591602731
2023-04-01,0.3975736912076311
2023-05-01,0.36916278684990544
2023-06-01,0.4186841267334831
2023-07-01,0.19368729220792424
2023-08-01,-0.40806833622986005
2023-09-01,0.10941018034917072
2023-10-01,0.31007758326626345
2023-11-01,-0.53347901428174
2023-12-01,0.6050224979148453
2024-01-01,0.3894178765994969
2024-02-01,0.11306002245918911
2024-03-01,0.3861333907429998
2024-04-01,-0.38740822496660243
2024-05-01,-0.3162350385163055
2024-06-01,-0.07940844857787255
2024-07-01,-0.19497112235398717
2024-08-01,0.8415179458900663
2024-09-01,-0.010372299137767271
